type,source,target,volume,pipette,tipType,liquidClass,sameTips,reuseTips,ejectTipsWithLiquid,bottomTouch,liquidLevelDetection,prewetEnabled,prewetReps,prewetVolume,prewetRelative,prewetHeights,mixingEnabled,mixingReps,mixingVolume,mixingRelative,mixingHeights,stepRowSource,stepColSource,stepRowTarget,stepColTarget,offsetRowSource,offsetColSource,offsetRowTarget,offsetColTarget,excessDispense,excessVol,aspirationOffsetX,aspirationOffsetY,dispenseOffsetX,dispenseOffsetY,aspirationDepthRelative,aspirationDepthValue,dispenseDepthRelative,dispenseDepthValue,note,timedBreak,timeEvent,pauseTimeMinutes,deviceType,devicePos,action,deviceArgName,deviceArgValue
dispense,2:A1,3:A1,185.8,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
dispense,2:A2,3:A1,112.2,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
dispense,2:B2,3:A1,324.1,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
dispense,2:B3,3:A1,125.6,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
dispense,5:A1,3:A1,761.6,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
dispense,5:A2,3:A1,507.2,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
dispense,5:B2,3:A1,621.0,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
dispense,5:B3,3:A1,432.1,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
dispense,6:A1,3:A1,182.8,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
dispense,6:A2,3:A1,550.0,1-Channel 1000uL,Sartorius Tips (10-1000uL),Waterlike,TRUE,FALSE,,FALSE,TRUE,FALSE,1,50,liquid,,FALSE,0,0,liquid,,1,1,1,1,0,0,0,0,source,0,0,0,0,0,liquid,-3,liquid,-3,,,,,,,,,
