Media,Copper (II) sulphate pentahydrate /  Manganese chloride tetrahydrate (0.298182) at 0.005 (g/L). Volume (μL),Copper (II) sulphate pentahydrate /  Manganese chloride tetrahydrate (0.298182) at 0.001 (g/L). Volume (μL),Iron sulphate heptahydrate  / Potassium iodide (60) / Cobalt (II) chloride hexahydrate (10) at 0.5 (g/L). Volume (μL),Iron sulphate heptahydrate  / Potassium iodide (60) / Cobalt (II) chloride hexahydrate (10) at 0.05 (g/L). Volume (μL),Magnesium sulphate heptahydrate / Sodium molybdate dihydrate (625.0) / Zinc sulphate heptahydrate (74.07407) at 50.0 (g/L). Volume (μL),Magnesium sulphate heptahydrate / Sodium molybdate dihydrate (625.0) / Zinc sulphate heptahydrate (74.07407) at 10.0 (g/L). Volume (μL),Magnesium sulphate heptahydrate / Sodium molybdate dihydrate (625.0) / Zinc sulphate heptahydrate (74.07407) at 1.0 (g/L). Volume (μL),Nicotinic acid / Boric acid (1.0) / Calcium pantothenate (1.0) at 0.05 (g/L). Volume (μL),Biotin / Pyridoxine (0.0206) at 0.001 (g/L). Volume (μL),Biotin / Pyridoxine (0.0206) at 0.0005 (g/L). Volume (μL),Calcium chloride dihydrate at 5.0 (g/L). Volume (μL),Calcium chloride dihydrate at 0.5 (g/L). Volume (μL),Inositol at 0.5 (g/L). Volume (μL),Inositol at 0.05 (g/L). Volume (μL),Inositol at 0.01 (g/L). Volume (μL),Inositol at 0.001 (g/L). Volume (μL),Inositol at 0.0001 (g/L). Volume (μL),Thiamine at 0.05 (g/L). Volume (μL),Thiamine at 0.01 (g/L). Volume (μL),para-aminobenzoic acid at 0.005 (g/L). Volume (μL),para-aminobenzoic acid at 0.001 (g/L). Volume (μL),Glucose/ Ammonium sulphate (4.0) at 400.0 (g/L). Volume (μL),Sodium phosphate dibasic heptahydrate/ Sodium phosphate monobasic monohydrate (1.08) at 200.0 (g/L). Volume (μL),Water. Volume (μL)
1,230.3880414,0,0,840.0740883,0,252.2261208,0,106.1215781,0,167.1630076,228.9322358,0,0,0,163.5457751,0,0,0,264.2659006,261.7040883,0,550,526.845,7408.734164
2,0,599.3942006,0,742.7414506,0,263.9129233,0,103.0597345,0,361.0715416,161.683413,0,135.7690453,0,0,0,0,256.9564056,0,210.9667299,0,550,526.845,7087.599556
3,306.3480559,0,249.7693823,0,235.7734501,0,0,138.6873539,0,184.3767296,250.8514133,0,0,497.0734543,0,0,0,0,841.1078622,0,342.4869719,550,526.845,6876.680327
4,948.5092464,0,228.3944518,0,0,181.3589219,0,124.4894717,511.4202968,0,0,550.0898352,508.7592573,0,0,0,0,0,138.6845843,0,312.7813083,550,526.845,6418.667626
5,0,614.9631077,103.3828014,0,0,0,650.9229705,149.0269627,0,227.6983962,148.8054368,0,0,0,821.60146,0,0,0,156.7598208,0,750.8210109,550,526.845,6299.173033
6,597.2237302,0,0,606.253867,0,0,828.2276351,278.250721,660.4952592,0,109.5225177,0,464.4118066,0,0,0,0,249.8323639,0,0,873.9589919,550,526.845,5254.978107
7,304.8992915,0,0,614.3030683,0,0,740.5455496,360.177228,0,853.4332143,0,644.5252111,0,332.6528408,0,0,0,0,204.2374224,201.9633213,0,550,526.845,5666.417853
8,727.1201746,0,126.4037408,0,0,0,801.7222012,130.9744479,709.0482093,0,0,930.9474443,0,0,0,981.4373418,0,0,690.623662,0,845.0248852,550,526.845,3979.852893
9,0,455.3342581,209.8217281,0,0,0,309.0236129,107.3758197,678.323348,0,0,527.8193655,0,0,473.2727179,0,0,0,124.6436806,0,584.1705836,550,526.845,6453.369886
10,892.3830913,0,150.6980509,0,0,350.7801485,0,381.7145921,780.6915467,0,0,573.5559062,0,638.840214,0,0,0,0,446.3482698,0,499.4691054,550,526.845,5208.674075
11,0,750.3864086,135.4180223,0,0,225.3135472,0,257.7195767,0,422.9551242,0,139.4973631,0,0,0,206.9624692,0,369.923735,0,0,599.0041944,550,526.845,6815.974559
12,621.5057878,0,168.6820679,0,0,193.2831449,0,426.3981398,0,413.9853888,0,890.9659332,0,0,352.127846,0,0,314.2504761,0,248.8313771,0,550,526.845,6293.124838
13,269.5056093,0,0,850.3597178,246.9060383,0,0,346.7090626,0,531.6449444,0,474.4800182,0,0,0,0,347.3911836,0,115.02463,236.1873032,0,550,526.845,6504.946493
14,0,431.4954727,122.2765471,0,0,551.155496,0,109.0059597,0,201.8880602,125.5896998,0,0,0,128.5933426,0,0,0,510.3797347,0,409.1960845,550,526.845,7333.574603
15,281.3261282,0,196.9795332,0,0,116.6330329,0,431.3825054,0,265.7416019,163.4822862,0,0,0,0,128.2698303,0,0,968.7866453,0,487.2114764,550,526.845,6883.34196
16,488.7863173,0,0,966.0969139,0,880.7959558,0,197.9699096,0,178.544167,0,947.8643881,0,0,0,0,245.8071533,0,144.7203135,411.8231912,0,550,526.845,5460.74669
17,0,864.6311357,185.0176773,0,0,0,409.7704274,186.2032956,0,255.1249165,100.1765784,0,0,869.0764336,0,0,0,0,748.1097687,0,520.1436045,550,526.845,5784.901162
18,933.6055778,0,117.667821,0,0,239.6449584,0,119.4619363,0,375.7662796,286.5320589,0,308.0941587,0,0,0,0,0,287.2157655,0,396.6207782,550,526.845,6858.545666
19,507.6196439,0,280.573939,0,0,0,500.9091507,471.2129591,853.7222775,0,146.612291,0,0,0,962.642896,0,0,0,151.4755019,358.4469957,0,550,526.845,5689.939345
20,0,642.9825721,109.3605723,0,0,292.0643163,0,371.9638387,0,294.8474238,0,262.5028234,0,0,221.8090783,0,0,0,348.4762715,459.2874695,0,550,526.845,6919.860634
21,877.8319955,0,127.2600081,0,0,648.7184694,0,179.4695288,0,308.6228674,0,251.9290887,0,0,0,0,827.2276732,0,494.268518,0,428.4273995,550,526.845,5779.399451
22,834.1880377,0,163.2319648,0,0,422.4402111,0,115.0512357,0,215.8151025,0,354.4881087,0,588.4861898,0,0,0,0,178.541149,247.6382606,0,550,526.845,6803.27474
23,388.572615,0,0,899.2612491,0,154.2168527,0,121.6545204,0,195.1357943,0,411.6881028,110.795495,0,0,0,0,0,786.1778817,299.9687895,0,550,526.845,6555.6837
24,645.436772,0,115.1905467,0,217.0541591,0,0,354.1861312,0,224.8461076,0,296.7935903,0,0,0,141.0125119,0,379.9115921,0,381.9583551,0,550,526.845,7166.765234
25,244.4366808,0,0,637.8418963,230.8979606,0,0,320.3773957,0,891.9476853,0,793.7197226,227.0865941,0,0,0,0,0,225.8717356,211.900923,0,550,526.845,6139.074406
26,0,763.3474247,156.2341952,0,0,129.1762601,0,205.2173258,831.6711777,0,102.0279106,0,0,0,943.0620051,0,0,0,379.8399282,0,364.5257916,550,526.845,6048.052981
27,219.3565626,0,0,898.0752768,0,175.8379009,0,455.3868916,0,403.1686045,0,326.4000608,0,299.4841176,0,0,0,0,220.0045092,0,674.8350246,550,526.845,6250.606051
28,0,530.8305155,0,996.1485706,0,872.1846232,0,160.5685039,0,350.2060773,213.6214534,0,0,0,0,0,978.8570911,0,211.2125633,0,388.4303973,550,526.845,5221.095204
29,405.3633869,0,174.4099873,0,0,0,478.7825687,391.3676079,0,306.4614331,320.1668306,0,0,0,509.7042107,0,0,0,886.6915087,217.0030479,0,550,526.845,6233.204418
30,0,928.8868206,112.202371,0,0,0,324.0959628,125.6461167,761.5793705,0,0,507.1553262,0,0,310.4889872,0,0,0,432.1451697,365.6489199,0,550,526.845,6055.305956
31,437.2239349,0,0,700.3077425,0,380.6908981,0,216.1665156,0,236.8638109,0,826.3837118,368.7660393,0,0,0,0,0,408.8773751,398.847607,0,550,526.845,5949.027365
32,616.7714361,0,266.8448219,0,0,0,611.8090376,169.7796615,0,682.4399564,0,148.0197021,0,232.6508874,0,0,0,0,117.7837253,0,319.3704667,550,526.845,6757.685305
33,465.8929965,0,140.4292247,0,0,510.6236056,0,419.2286848,539.843007,0,0,165.6669018,0,0,0,0,323.9935901,336.9225816,0,282.161476,0,550,526.845,6738.392932
34,0,549.1591148,134.1657208,0,0,302.609578,0,270.2139352,0,492.8572924,0,429.8908627,638.2247369,0,0,0,0,0,106.2798047,0,659.6582008,550,526.845,6340.095754
35,229.4862319,0,0,767.7159602,0,697.7336401,0,456.7658068,594.2979626,0,267.340886,0,0,998.6670692,0,0,0,281.7192111,0,0,986.7802035,550,526.845,4642.648029
36,449.7445009,0,0,753.7286436,0,0,363.594641,134.1748149,0,579.1425195,0,754.3644368,0,0,0,0,220.0106079,245.3055051,0,228.6615216,0,550,526.845,6194.427808
37,815.2740982,0,262.1122416,0,0,603.6285001,0,232.7262952,0,693.7153899,120.6827602,0,0,0,0,0,584.1725239,0,562.8475266,0,438.3064794,550,526.845,5609.689185
38,430.5257853,0,119.8824838,0,0,124.2984864,0,143.475607,0,434.0299352,0,264.7452762,767.6258369,0,0,0,0,0,259.5384553,0,466.1060676,550,526.845,6912.927066
39,773.3631386,0,152.4533201,0,0,0,912.0038318,129.0628037,0,615.3128369,340.218854,0,0,0,0,311.8397629,0,354.974806,0,473.0920617,0,550,526.845,5860.833584
40,0,721.1778245,243.5409259,0,0,0,620.1880902,180.5736616,0,937.3338972,200.4785104,0,0,0,117.9861976,0,0,0,585.1600484,0,949.6272285,550,526.845,5367.088616
41,537.6815753,0,210.201214,0,0,768.1957505,0,187.7389189,0,210.1321656,0,378.3339304,0,0,0,242.0140584,0,0,129.4124192,424.6691761,0,550,526.845,6834.775792
42,0,854.5327733,199.0116817,0,0,0,420.2605861,313.2723802,0,820.7477938,0,486.5983708,0,0,0,0,499.8331412,0,195.084052,0,417.4094163,550,526.845,5716.404805
43,0,501.0303139,0,876.1922518,0,995.9439916,0,236.4465791,0,743.8421905,353.5385367,0,0,0,0,837.7256506,0,0,633.5463038,298.3514484,0,550,526.845,4446.537734
44,673.8246279,0,0,634.7597615,0,0,330.4034813,336.6487553,0,655.603706,0,386.0326863,0,0,293.493772,0,0,0,300.8492638,231.3979367,0,550,526.845,6080.141009
45,0,483.7077335,107.0114223,0,0,146.4776926,0,158.235882,0,323.562428,0,240.0500479,0,0,0,286.3989635,0,400.6809699,0,0,552.1191027,550,526.845,7224.910758
46,333.1105456,0,0,684.4396408,0,0,346.7733272,112.4086761,691.5429888,0,0,441.3302,0,364.6165284,0,0,0,0,530.4570824,447.9868161,0,550,526.845,5970.489195
47,377.566229,0,0,797.7256353,0,141.3963908,0,100.8176104,0,392.8034038,134.6284655,0,0,0,0,110.287456,0,231.4824646,0,0,448.9356402,550,526.845,7187.511705
48,0,813.9582238,272.6078192,0,0,485.1753625,0,225.7569568,0,774.8960611,0,318.8774132,0,0,234.9118647,0,0,0,923.5428911,0,348.653922,550,526.845,5524.774486
49,412.0379494,0,0,722.4911361,0,0,747.6302396,163.1691257,0,258.8370373,112.9921697,0,0,761.320333,0,0,0,0,101.0852388,0,770.3535011,550,526.845,5873.238269
50,0,409.5249557,202.3379031,0,0,401.4556361,0,289.6365068,0,877.5591756,0,697.7063474,0,0,0,0,284.0877998,0,979.9618626,0,875.3972881,550,526.845,4905.487525
51,0,496.4863128,256.9231514,0,0,195.8814364,0,401.6230253,0,452.6350942,0,679.2703176,0,0,0,726.329464,0,0,663.5869886,439.5036271,0,550,526.845,5610.915583
52,0,910.8588128,175.722548,0,0,0,457.8139496,407.7731157,0,605.6579297,0,351.979086,284.3715842,0,0,0,0,0,730.9400061,0,622.1288352,550,526.845,5375.909133
53,0,708.0419143,0,953.1846773,0,276.3889464,0,150.1518797,553.9755147,0,312.6028225,0,870.7368756,0,0,0,0,0,310.3800785,309.5320894,0,550,526.845,5478.160201
54,252.0408117,0,0,655.5072315,0,138.648369,0,375.8358775,0,999.8662502,0,178.0016467,0,0,0,534.8568788,0,0,825.7841138,0,693.6925267,550,526.845,5268.921294
55,550.2053984,0,216.8462629,0,0,107.0826644,0,310.210656,887.8090829,0,116.639836,0,0,0,0,0,753.7462352,0,332.4229227,0,925.6024573,550,526.845,5722.589484
56,0,570.1325427,275.6130562,0,0,339.8732786,0,299.8933738,0,488.2153948,244.9228171,0,151.2564588,0,0,0,0,0,465.8303443,0,606.1192922,550,526.845,6481.298441
