Compound,PubChemCID,1_YAR,2a_YAR,2b_YAR,2c_YAR,2d_YAR,3a_YAR,3b_YAR,3c_YAR,4_YAR,5_YAR,6_YAR,1_CER,2_CER,3_CER,4_CER,5a_CER,5b_CER,1a_PIC,1b_PIC,1c_PIC,1d_PIC,2a_PIC,3a_PIC,3b_PIC,4a_PIC,4b_PIC,Annotate
Ammonium iron (II) sulphate hexahydrate,15942308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0665,0.0665,0,0,0,0,0,0,0,Nitrogen
Ammonium phosphate,24540,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nitrogen
Ammonium sulphate,6097028,3.77,5,5,5,5,0,4,4.5,5,8,0,0,7.5,10,5,25,13.825000000000001,7.2,7.2,0,0,15.7,5,0,0,1.65,Nitrogen
Arginine,6322,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.02,0,0,0,0,0,0,0,0,0,1.46,AA
Aspartic acid,5960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,AA
Biotin,171548,0,2.5e-5,2.5e-5,2.5e-5,2.5e-5,8.0e-6,8.0e-6,7.500000000000001e-8,5.0e-5,7.500000000000001e-5,8.500000000000001e-7,2.0e-5,5.0e-5,0.0003,5.0e-5,8.0e-6,3.5299999999999997e-6,0.0004,0.0004,0,0,0.0004,5.0e-5,0.00087,0.2,0,Vitamin
Boric acid,7628,0,0.001,0.001,0.001,0.001,0.0005,0,0.008,0.002,0,4.0799999999999996e-5,0,0.002,0,0.001,0.002,0.0008825,0.00065,0,0.000287,8.7e-5,5.2782e-5,0.001,8.7e-5,0,0,Vitamin
Calcium chloride dihydrate,6093260,0,0.006705768,0.006705768,0.006705768,0.006705768,0.14901707366845793,0,7.4508536834228964,0.009,0.00725,0.0255,0,0.009,3,0.0045,0.5960682946738317,0.26301513502482826,1.4901707366845793,1.4901707366845793,0,0,0.28031920000000005,0.0045,0,0,0.36,Element
Calcium pantothenate,443753,0,0.0005,0.0005,0.0005,0.0005,0,0,6.901259181532004e-7,0.001,0.0015,1.7e-5,0.0005,1.0e-6,0.0036,0.001,0.0016,0.000706,0,0,0,0,0,0.001,0,0,0,Vitamin
Calcium sulphate dihydrate,24928,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.175,0.17,0,0,0.1076507855027008,0.93,0,Element
Choline chloride,6209,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Vitamin
