Compound,PubChemCID,1_YAR,2a_YAR,2b_YAR,2c_YAR,2d_YAR,3a_YAR,3b_YAR,3c_YAR,4_YAR,5_YAR,6_YAR,1_CER,2_CER,3_CER,4_CER,5a_CER,5b_CER,1a_PIC,1b_PIC,1c_PIC,1d_PIC,2a_PIC,3a_PIC,3b_PIC,4a_PIC,4b_PIC,Annotate
Ammonium iron (II) sulphate hexahydrate,15942308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001696,0.0001696,0,0,0,0,0,0,0,Nitrogen
Ammonium phosphate,24540,0,0,0,0,0,0,0,0,0,0,0,0.045433893684688774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nitrogen
Ammonium sulphate,6097028,0.028530346602088696,0.037838656,0.037838656,0.037838656,0.037838656,0,0.030270925,0.03405479,0.037838656,0.06054185,0,0,0.056757984,0.075677312,0.037838656,0.18919327985469958,0.10462388375964887,0.054487665,0.054487665,0,0,0.11881337974875134,0.037838656,0,0,0.012486756,Nitrogen
Arginine,6322,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001148106,0,0.000114811,0,0,0,0,0,0,0,0,0,0.008381171,AA
Aspartic acid,5960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000751315,0,0,0,0,0,0,0,0,0,0,AA
Biotin,171548,0,1.0232900822725226e-7,1.0232900822725226e-7,1.0232900822725226e-7,1.0232900822725226e-7,3.2745282632720724e-8,3.2745282632720724e-8,3.069870246817568e-10,2.0465801645450452e-7,3.069870246817568e-7,3.4791862797265773e-9,8.186320658180181e-8,2.0465801645450452e-7,1.2279480987270271e-6,2.0465801645450452e-7,3.2745282632720724e-8,1.4448855961688018e-8,1.6372641316360362e-6,1.6372641316360362e-6,0,0,1.6372641316360362e-6,2.0465801645450452e-7,3.561049486308379e-6,0.000818632,0,Vitamin
Boric acid,7628,0,1.6170763260025874e-5,1.6170763260025874e-5,1.6170763260025874e-5,1.6170763260025874e-5,8.085381630012937e-6,0,0.000129366,3.234152652005175e-5,0,6.597671410090556e-7,0,3.234152652005175e-5,0,1.6170763260025874e-5,3.234152652005175e-5,1.4270698576972831e-5,1.0510996119016819e-5,0,4.641009055627426e-6,1.406856403622251e-6,8.535252263906856e-7,1.6170763260025874e-5,1.406856403622251e-6,0,0,Vitamin
Calcium chloride dihydrate,6093260,0,3.061016257397456e-5,3.061016257397456e-5,3.061016257397456e-5,3.061016257397456e-5,0.000680226,0,0.034011291748860625,4.108275893550007e-5,3.309444469804172e-5,0.000116401,0,4.108275893550007e-5,0.013694252978500023,2.0541379467750034e-5,0.002720903,0.001200599,0.006802258,0.006802258,0,0,0.001279587,2.0541379467750034e-5,0,0,0.00164331,Element
Calcium pantothenate,443753,0,2.28070975687634e-6,2.28070975687634e-6,2.28070975687634e-6,2.28070975687634e-6,0,0,3.147953830010493e-9,4.56141951375268e-6,6.84212927062902e-6,7.754413173379556e-8,2.28070975687634e-6,4.56141951375268e-9,1.6421110249509647e-5,4.56141951375268e-6,7.298271222004289e-6,3.2203621767093923e-6,0,0,0,0,0,4.56141951375268e-6,0,0,0,Vitamin
Calcium sulphate dihydrate,24928,0.003819597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008630821,0.001248715,0,0,0.000790736,0.006831203,0,Element
Choline chloride,6209,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00071623,0,0,0,0,0,0,0,0,0,0,0,0,Vitamin
Cobalt (II) chloride hexahydrate,24643,1.0507292060690119e-5,2.3105360443622917e-6,2.3105360443622917e-6,2.3105360443622917e-6,2.3105360443622917e-6,0,0,5.3912507701786816e-5,4.621072088724583e-6,9.049599507085643e-6,2.749537892791127e-7,0,4.621072088724583e-6,3.666050523721503e-5,2.3105360443622917e-6,0,0,5.006161429451633e-6,0,5.5260320394331484e-5,3.082255083179297e-5,0,2.3105360443622917e-6,4.936325810112218e-6,0,0,Element
Copper (II) sulphate pentahydrate,24463,0.000187958,1.8795814798571514e-6,1.8795814798571514e-6,1.8795814798571514e-6,1.8795814798571514e-6,2.5061086398095357e-7,0,0.000626527,1.2530543199047679e-6,0,3.195288515757158e-6,1.0012415395089913e-7,1.2530543199047679e-6,1.0024434559238143e-5,1.8795814798571514e-6,6.407945852857545e-7,2.827506107573391e-7,5.648630766657892e-5,5.648630766657892e-5,0.00053944,0.000104655,0,1.8795814798571514e-6,6.672473867595819e-5,0,0,Element
Dipotassium phosphate,24450,0.004994948,0,0,0,0,0,0.031577255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Buffer
Disodium edta dihydrate,16760408,0,4.029658284977434e-5,4.029658284977434e-5,4.029658284977434e-5,4.029658284977434e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chelating
EDTA,6049,0,0,0,0,0,0,0,0.042909937,0.000102655,0.000100003,0.000218841,0,0.000102655,0,5.132767588283602e-5,0,0,0.000227553,0.000227553,0,2.9770052012044894e-7,0,5.132767588283602e-5,0,0,0,Chelating
Ferric chloride hexahydrate,6093258,0,0,0,0,0,7.399459839431721e-7,3.6997299197158604e-5,0,0,0,0,0,0,0,0,2.9597839357726883e-6,1.3060046616596988e-6,0,0,0,0,8.43403205918619e-5,0,0,0,0,Element
Folic acid,135398658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8124150430448574e-8,7.997281377435432e-9,0,0,0,0,0,0,0,0,0,Vitamin
Glucose,5793,0.055506217,0.11101243339253997,0,0,0.055506217,0.11101243339253997,0.11101243339253997,0.11101243339253997,0.44404973357015987,0.22202486678507993,0.11101243339253997,0.055506217,0.12211367673179396,0.5550621669626998,0.055506217,0.11101243339253997,0.3330373001776199,0.055506217,0,0,0,0,0.11101243339253997,4.051953818827709,0,0,Carbon
Glutamic acid,33032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000679671,0,0,0,0,0,0,0,0,0,0,AA
Glutamine,5961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011906391131791434,AA
Glycerol,753,0,0,0.2171788467803236,0.48865240525572806,0.1085894233901618,0,0,0,0,0,0,0.027147356,0,0,0,0,0,0,0.1085894233901618,0,0,1.0337713106743402,0,0,0.49082419372353137,0.49082419372353137,Carbon
Histidine,6274,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000644538,0,0.000128908,0.001353529,0,0,0,0,0,0,0,0,0,AA
